WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
2024/04/01, 13:27:49.692, 41.518, -70.672, 9.60, 163.190, 164.830000, 9.060, 6.8, 6.9, 1014.4, 1014.3, 0.0, 0.0, 0.000, 0.000, 328, 325, 6.9, 9.7, 84.3, 84.4, 4.0, 6.6, 90.7, 103.2, 1016.5, 1016.4, 179.960, 322.990, 656.61, 5.8732, 6.1150, 126.000, 0.0, 1438.683, NODATA, NODATA, NODATA, NODATA
2024/04/01, 13:28:49.692, 41.515, -70.671, 10.52, 162.860, 164.500000, 9.200, 6.8, 6.8, 1014.4, 1014.4, 0.0, 0.0, 0.000, 0.000, 323, 321, 7.5, 10.3, 84.8, 84.8, 4.8, 7.4, 88.1, 99.2, 1016.5, 1016.5, 182.310, 322.900, 659.62, 5.8731, 6.1312, 126.000, 0.0, 1438.752, NAN, NAN, NAN, NAN
2024/04/01, 13:29:49.692, 41.513, -70.670, 10.60, 168.190, 169.440000, 8.830, 6.6, 6.7, 1014.5, 1014.4, 0.0, 0.0, 0.000, 0.000, 318, 317, 7.0, 10.1, 85.3, 85.3, 4.8, 7.5, 86.2, 100.5, 1016.6, 1016.5, 190.180, 323.050, 673.86, 5.8729, 6.1465, 126.000, 0.0, 1438.818, NAN, NAN, NAN, NAN
2024/04/01, 13:30:49.692, 41.511, -70.670, 9.83, 168.650, 173.660000, 8.870, 6.6, 6.6, 1014.5, 1014.4, 0.0, 0.0, 0.000, 0.000, 316, 316, 6.2, 9.1, 86.1, 86.1, 4.7, 7.0, 77.6, 95.3, 1016.6, 1016.5, 195.310, 323.270, 684.61, 5.8728, 6.1449, 126.000, 0.0, 1438.811, NAN, NAN, NAN, NAN
2024/04/01, 13:31:49.692, 41.508, -70.669, 9.46, 167.940, 176.180000, 9.160, 6.5, 6.5, 1014.5, 1014.4, 0.0, 0.0, 0.000, 0.000, 321, 320, 6.2, 9.0, 87.1, 87.1, 4.6, 6.8, 79.9, 97.0, 1016.6, 1016.5, 192.600, 324.100, 683.22, 5.8727, 6.1454, 126.000, 0.0, 1438.813, NAN, NAN, NAN, NAN
2024/04/01, 13:32:49.692, 41.505, -70.670, 9.93, 194.800, 199.220000, 10.190, 6.4, 6.4, 1014.4, 1014.4, 0.0, 0.0, 0.000, 0.000, 315, 316, 5.4, 8.2, 88.2, 88.1, 4.5, 6.2, 86.5, 111.1, 1016.5, 1016.5, 184.460, 325.290, 664.03, 5.8725, 6.1661, 125.700, 0.0, 1438.901, NAN, NAN, NAN, NAN
2024/04/01, 13:33:49.692, 41.503, -70.672, 9.71, 224.500, 225.970000, 10.750, 6.4, 6.4, 1014.4, 1014.4, 0.0, 0.0, 0.000, 0.000, 311, 315, 4.3, 7.0, 88.9, 88.9, 4.3, 5.1, 95.8, 128.0, 1016.5, 1016.5, 180.750, 327.390, 655.72, 5.8726, 6.1420, 125.700, 0.0, 1438.798, NAN, NAN, NAN, NAN
2024/04/01, 13:34:49.692, 41.501, -70.675, 8.01, 235.410, 236.480000, 9.160, 6.5, 6.5, 1014.5, 1014.4, 0.0, 0.0, 0.000, 0.000, 305, 313, 3.4, 5.8, 88.9, 88.9, 4.0, 4.4, 101.4, 135.5, 1016.6, 1016.5, 185.010, 329.310, 661.32, 5.8724, 6.1031, 125.700, 0.0, 1438.631, NAN, NAN, NAN, NAN
2024/04/01, 13:35:49.692, 41.500, -70.678, 6.93, 242.830, 242.370000, 7.960, 6.6, 6.6, 1014.5, 1014.5, 0.0, 0.0, 0.000, 0.000, 291, 309, 2.6, 4.6, 88.1, 88.2, 4.0, 3.7, 100.0, 134.2, 1016.6, 1016.6, 190.110, 331.170, 671.33, 5.8723, 6.0731, 125.700, 0.0, 1438.502, NAN, NAN, NAN, NAN
2024/04/01, 13:36:49.692, 41.499, -70.680, 6.26, 243.250, 244.010000, 7.430, 6.6, 6.7, 1014.5, 1014.4, 0.0, 0.0, 0.000, 0.000, 292, 310, 2.4, 4.4, 87.2, 87.3, 3.7, 3.6, 101.1, 137.1, 1016.6, 1016.5, 190.330, 332.740, 674.49, 5.8722, 6.0553, 126.300, 0.0, 1438.425, NAN, NAN, NAN, NAN
2024/04/01, 13:37:49.692, 41.498, -70.682, 5.36, 267.200, 250.340000, 5.900, 6.7, 6.8, 1014.5, 1014.5, 0.0, 0.0, 0.000, 0.000, 266, 310, 1.5, 3.1, 86.3, 86.5, 3.1, 1.9, 100.9, 147.0, 1016.6, 1016.6, 187.000, 334.200, 666.55, 5.8721, 6.0411, 125.700, 0.0, 1438.364, NAN, NAN, NAN, NAN
2024/04/01, 13:38:49.692, 41.498, -70.684, 0.20, 352.750, 268.920000, 1.880, 6.8, 6.8, 1014.5, 1014.5, 0.0, 0.0, 0.000, 0.000, 112, 87, 3.7, 2.8, 86.2, 86.5, 4.7, 3.7, 104.2, 85.5, 1016.6, 1016.6, 182.040, 332.820, 658.80, 5.8722, 6.0378, 125.700, 0.0, 1438.350, NAN, NAN, NAN, NAN
2024/04/01, 13:39:49.692, 41.498, -70.684, 1.00, 50.480, 285.870000, 0.600, 6.8, 6.8, 1014.5, 1014.5, 0.0, 0.0, 0.000, 0.000, 64, 55, 4.1, 5.5, 86.4, 86.4, 4.4, 5.8, 115.5, 106.7, 1016.6, 1016.6, 180.760, 333.900, 656.30, 5.8721, 6.0432, 126.000, 0.0, 1438.373, NAN, NAN, NAN, NAN
2024/04/01, 13:40:49.693, 41.499, -70.684, 0.74, 64.910, 352.670000, 0.150, 6.9, 6.9, 1014.5, 1014.5, 0.0, 0.0, 0.000, 0.000, 37, 32, 3.8, 5.7, 85.2, 85.3, 3.8, 5.7, 102.9, 97.6, 1016.6, 1016.6, 180.550, 333.470, 655.60, 5.8721, 6.0481, 126.000, 0.0, 1438.394, NAN, NAN, NAN, NAN
2024/04/01, 13:41:49.693, 41.499, -70.684, 1.10, 63.030, 347.670000, 0.150, 7.0, 7.0, 1014.5, 1014.5, 0.0, 0.0, 0.000, 0.000, 37, 31, 3.5, 5.3, 84.5, 84.6, 3.6, 5.3, 101.0, 94.7, 1016.6, 1016.6, 183.150, 333.470, 660.59, 5.8720, 6.0502, 124.400, 0.0, 1438.403, NAN, NAN, NAN, NAN
