WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
2024/03/31, 00:00:32.925, 41.524, -70.672, 0.16, 24.550, 164.110000, 0.020, NAN, 7.4, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 228, NAN, 7.9, NAN, 70.6, NAN, 7.9, NAN, 252.6, NAN, 1005.2, -6.010, 291.100, -0.02, 5.8646, 6.0952, 126.000, 0.0, 1438.587, NAN, NAN, NAN, NAN
2024/03/31, 00:01:32.925, 41.524, -70.672, 0.11, 24.630, 347.530000, 0.020, NAN, 7.4, NAN, 1003.2, NAN, 0.0, NAN, 102.000, NAN, 224, NAN, 5.5, NAN, 71.0, NAN, 5.5, NAN, 248.5, NAN, 1005.3, -5.870, 291.970, -0.03, 5.8647, 6.0911, 126.300, 0.0, 1438.569, NAN, NAN, NAN, NAN
2024/03/31, 00:02:32.925, 41.524, -70.672, 0.06, 24.540, 166.930000, 0.010, NAN, 7.4, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 224, NAN, 7.0, NAN, 71.3, NAN, 7.0, NAN, 248.6, NAN, 1005.2, -5.970, 292.860, -0.02, 5.8646, 6.0865, 126.300, 0.0, 1438.550, NAN, NAN, NAN, NAN
2024/03/31, 00:03:32.925, 41.524, -70.672, 0.12, 24.530, 134.470000, 0.000, NAN, 7.4, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 235, NAN, 5.9, NAN, 70.8, NAN, 5.9, NAN, 259.5, NAN, 1005.2, -5.800, 293.080, -0.02, 5.8645, 6.0823, 126.600, 0.0, 1438.531, NAN, NAN, NAN, NAN
2024/03/31, 00:04:32.925, 41.524, -70.672, 0.03, 24.630, 185.390000, 0.010, NAN, 7.4, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 242, NAN, 5.6, NAN, 71.0, NAN, 5.6, NAN, 266.7, NAN, 1005.2, -5.830, 293.500, -0.02, 5.8645, 6.0810, 126.900, 0.0, 1438.526, NAN, NAN, NAN, NAN
2024/03/31, 00:05:32.925, 41.524, -70.672, 0.15, 24.570, 160.330000, 0.000, NAN, 7.4, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 230, NAN, 5.0, NAN, 71.0, NAN, 5.0, NAN, 254.6, NAN, 1005.2, -5.910, 293.790, -0.02, 5.8645, 6.0811, 126.300, 0.0, 1438.526, NAN, NAN, NAN, NAN
2024/03/31, 00:06:32.925, 41.524, -70.672, 0.10, 24.610, 129.350000, 0.000, NAN, 7.4, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 231, NAN, 8.0, NAN, 70.7, NAN, 8.0, NAN, 255.6, NAN, 1005.2, -5.870, 294.510, -0.02, 5.8645, 6.0804, 126.300, 0.0, 1438.523, NAN, NAN, NAN, NAN
2024/03/31, 00:07:32.925, 41.524, -70.672, 0.09, 24.620, 286.910000, 0.010, NAN, 7.4, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 226, NAN, 7.2, NAN, 70.2, NAN, 7.2, NAN, 250.6, NAN, 1005.2, -5.870, 295.080, -0.02, 5.8644, 6.0762, 126.600, 0.0, 1438.505, NAN, NAN, NAN, NAN
2024/03/31, 00:08:32.925, 41.524, -70.672, 0.15, 24.570, 202.480000, 0.000, NAN, 7.4, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 229, NAN, 8.7, NAN, 69.7, NAN, 8.7, NAN, 253.6, NAN, 1005.2, -5.720, 295.520, -0.02, 5.8644, 6.0741, 126.000, 0.0, 1438.496, NAN, NAN, NAN, NAN
2024/03/31, 00:09:32.925, 41.524, -70.672, 0.09, 24.620, 335.960000, 0.010, NAN, 7.5, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 234, NAN, 8.3, NAN, 69.7, NAN, 8.3, NAN, 258.6, NAN, 1005.2, -5.610, 294.970, -0.03, 5.8644, 6.0728, 126.600, 0.0, 1438.490, NAN, NAN, NAN, NAN
2024/03/31, 00:10:32.925, 41.524, -70.672, 0.08, 24.630, 312.980000, 0.010, NAN, 7.6, NAN, 1003.1, NAN, 0.0, NAN, 102.000, NAN, 233, NAN, 5.9, NAN, 68.9, NAN, 5.9, NAN, 257.7, NAN, 1005.2, -5.580, 294.580, -0.02, 5.8643, 6.0691, 126.300, 0.0, 1438.474, NAN, NAN, NAN, NAN
2024/03/31, 00:11:32.925, 41.524, -70.672, -0.03, 24.630, 187.500000, 0.010, NAN, 7.6, NAN, 1003.0, NAN, 0.0, NAN, 102.000, NAN, 233, NAN, 7.9, NAN, 69.2, NAN, 7.9, NAN, 257.7, NAN, 1005.1, -5.580, 294.520, -0.02, 5.8644, 6.0647, 126.300, 0.0, 1438.456, NAN, NAN, NAN, NAN
