WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
2024/03/30, 00:00:32.837, 41.524, -70.672, 0.07, 25.620, 103.990000, 0.010, NAN, 9.3, NAN, 997.0, NAN, 0.0, NAN, 102.000, NAN, 271, NAN, 9.4, NAN, 39.8, NAN, 9.4, NAN, 296.6, NAN, 999.1, -6.170, 283.940, -0.01, 5.8578, 5.7950, 126.300, 0.0, 1437.283, NAN, NAN, NAN, NAN
2024/03/30, 00:01:32.837, 41.524, -70.672, 0.08, 25.630, 55.190000, 0.010, NAN, 9.3, NAN, 997.0, NAN, 0.0, NAN, 102.000, NAN, 270, NAN, 11.0, NAN, 42.3, NAN, 11.0, NAN, 295.6, NAN, 999.1, -6.180, 283.390, -0.02, 5.8577, 5.7926, 126.600, 0.0, 1437.273, NAN, NAN, NAN, NAN
2024/03/30, 00:02:32.837, 41.524, -70.672, 0.14, 25.470, 192.660000, 0.010, NAN, 9.3, NAN, 997.0, NAN, 0.0, NAN, 102.000, NAN, 265, NAN, 9.4, NAN, 42.0, NAN, 9.4, NAN, 290.5, NAN, 999.1, -6.180, 282.710, -0.02, 5.8577, 5.7906, 126.900, 0.0, 1437.264, NAN, NAN, NAN, NAN
2024/03/30, 00:03:32.837, 41.524, -70.672, 0.20, 25.520, 211.830000, 0.000, NAN, 9.2, NAN, 997.0, NAN, 0.0, NAN, 102.000, NAN, 265, NAN, 10.1, NAN, 43.4, NAN, 10.1, NAN, 290.5, NAN, 999.1, -6.250, 282.370, -0.02, 5.8577, 5.7878, 126.600, 0.0, 1437.252, NAN, NAN, NAN, NAN
2024/03/30, 00:04:32.837, 41.524, -70.672, 0.03, 25.700, 34.700000, 0.010, NAN, 9.2, NAN, 997.1, NAN, 0.0, NAN, 102.000, NAN, 260, NAN, 9.8, NAN, 43.4, NAN, 9.8, NAN, 285.7, NAN, 999.2, -6.310, 281.980, -0.02, 5.8576, 5.7848, 126.600, 0.0, 1437.239, NAN, NAN, NAN, NAN
2024/03/30, 00:05:32.837, 41.524, -70.672, 0.16, 25.510, 263.580000, 0.020, NAN, 9.2, NAN, 997.1, NAN, 0.0, NAN, 102.000, NAN, 263, NAN, 10.0, NAN, 42.6, NAN, 10.0, NAN, 288.5, NAN, 999.2, -6.320, 281.220, -0.02, 5.8577, 5.7847, 126.600, 0.0, 1437.239, NAN, NAN, NAN, NAN
2024/03/30, 00:06:32.837, 41.524, -70.672, 0.04, 25.520, 300.660000, 0.010, NAN, 9.2, NAN, 997.1, NAN, 0.0, NAN, 102.000, NAN, 267, NAN, 8.6, NAN, 43.6, NAN, 8.6, NAN, 292.5, NAN, 999.2, -6.280, 280.410, -0.02, 5.8578, 5.7838, 126.600, 0.0, 1437.235, NAN, NAN, NAN, NAN
2024/03/30, 00:07:32.837, 41.524, -70.672, 0.06, 25.510, 99.760000, 0.020, NAN, 9.1, NAN, 997.2, NAN, 0.0, NAN, 102.000, NAN, 264, NAN, 10.4, NAN, 45.1, NAN, 10.4, NAN, 289.5, NAN, 999.3, -6.370, 280.880, -0.02, 5.8578, 5.7812, 126.300, 0.0, 1437.224, NAN, NAN, NAN, NAN
2024/03/30, 00:08:32.837, 41.524, -70.672, 0.05, 25.530, 293.240000, 0.010, NAN, 9.1, NAN, 997.2, NAN, 0.0, NAN, 102.000, NAN, 281, NAN, 9.0, NAN, 44.6, NAN, 9.0, NAN, 306.5, NAN, 999.3, -6.380, 279.980, -0.02, 5.8578, 5.7802, 127.200, 0.0, 1437.219, NAN, NAN, NAN, NAN
2024/03/30, 00:09:32.837, 41.524, -70.672, -0.17, 25.450, 183.270000, 0.010, NAN, 9.0, NAN, 997.2, NAN, 0.0, NAN, 102.000, NAN, 265, NAN, 9.8, NAN, 45.2, NAN, 9.8, NAN, 290.4, NAN, 999.3, -6.410, 279.770, -0.02, 5.8577, 5.7796, 126.300, 0.0, 1437.217, NAN, NAN, NAN, NAN
2024/03/30, 00:10:32.837, 41.524, -70.672, 0.13, 25.500, 32.020000, 0.020, NAN, 9.0, NAN, 997.2, NAN, 0.0, NAN, 102.000, NAN, 266, NAN, 9.8, NAN, 45.1, NAN, 9.8, NAN, 291.5, NAN, 999.3, -6.390, 279.900, -0.02, 5.8577, 5.7785, 126.600, 0.0, 1437.212, NAN, NAN, NAN, NAN
2024/03/30, 00:11:32.837, 41.524, -70.672, 0.08, 25.490, 156.750000, 0.010, NAN, 9.0, NAN, 997.2, NAN, 0.0, NAN, 102.000, NAN, 270, NAN, 8.9, NAN, 45.0, NAN, 8.9, NAN, 295.5, NAN, 999.3, -6.360, 279.410, -0.01, 5.8578, 5.7775, 126.600, 0.0, 1437.208, NAN, NAN, NAN, NAN
2024/03/30, 00:12:32.837, 41.524, -70.672, 0.23, 25.560, 328.200000, 0.010, NAN, 9.1, NAN, 997.1, NAN, 0.0, NAN, 102.000, NAN, 271, NAN, 10.1, NAN, 43.7, NAN, 10.1, NAN, 296.6, NAN, 999.2, -6.240, 279.440, -0.02, 5.8578, 5.7772, 126.600, 0.0, 1437.206, NAN, NAN, NAN, NAN
2024/03/30, 00:13:32.837, 41.524, -70.672, 0.09, 25.410, 288.330000, 0.010, NAN, 9.1, NAN, 997.2, NAN, 0.0, NAN, 102.000, NAN, 269, NAN, 10.3, NAN, 43.3, NAN, 10.3, NAN, 294.4, NAN, 999.3, -6.250, 279.080, -0.02, 5.8578, 5.7766, 126.900, 0.0, 1437.204, NAN, NAN, NAN, NAN
2024/03/30, 00:14:32.838, 41.524, -70.672, 0.03, 25.440, 329.860000, 0.010, NAN, 9.1, NAN, 997.3, NAN, 0.0, NAN, 102.000, NAN, 280, NAN, 9.3, NAN, 44.0, NAN, 9.3, NAN, 305.4, NAN, 999.4, -6.240, 278.950, -0.02, 5.8578, 5.7755, 126.600, 0.0, 1437.199, NAN, NAN, NAN, NAN
2024/03/30, 00:15:32.838, 41.524, -70.672, 0.11, 25.550, 265.310000, 0.000, NAN, 9.1, NAN, 997.3, NAN, 0.0, NAN, 102.000, NAN, 269, NAN, 10.3, NAN, 43.4, NAN, 10.3, NAN, 294.6, NAN, 999.4, -6.210, 278.330, -0.02, 5.8578, 5.7748, 126.600, 0.0, 1437.196, NAN, NAN, NAN, NAN
2024/03/30, 00:16:32.838, 41.524, -70.672, 0.04, 25.500, 132.810000, 0.020, NAN, 9.1, NAN, 997.3, NAN, 0.0, NAN, 102.000, NAN, 271, NAN, 10.5, NAN, 43.5, NAN, 10.5, NAN, 296.5, NAN, 999.4, -6.350, 278.230, -0.03, 5.8578, 5.7733, 126.600, 0.0, 1437.189, NAN, NAN, NAN, NAN
2024/03/30, 00:17:32.838, 41.524, -70.672, 0.15, 25.450, 150.160000, 0.020, NAN, 9.1, NAN, 997.3, NAN, 0.0, NAN, 102.000, NAN, 270, NAN, 10.6, NAN, 43.8, NAN, 10.6, NAN, 295.5, NAN, 999.4, -6.290, 278.190, -0.02, 5.8578, 5.7731, 127.200, 0.0, 1437.189, NAN, NAN, NAN, NAN
