WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
2024/04/04, 00:00:47.781, 35.954, -75.121, 0.07, 218.650, 120.120000, 0.970, 15.6, 15.6, 992.2, 991.7, 0.0, 0.0, 13.740, 11.620, 330, 325, 11.5, 13.4, 96.7, 96.8, 11.3, 13.2, 191.0, 185.6, 994.3, 993.8, -5.510, 391.670, -0.01, 28.5992, 11.3666, 337.400, 49.3, 1487.049, NAN, NAN, NAN, NAN
2024/04/04, 00:01:47.781, 35.954, -75.121, -0.16, 218.250, 320.980000, 0.210, 15.6, 15.6, 992.4, 992.3, 0.0, 0.0, 13.740, 11.620, 336, 328, 12.7, 13.5, 96.8, 96.8, 12.7, 13.5, 193.8, 185.8, 994.5, 994.4, -5.560, 391.630, -0.01, 28.6175, 11.3677, 337.100, 49.6, 1487.075, NAN, NAN, NAN, NAN
2024/04/04, 00:02:47.781, 35.954, -75.121, 0.44, 220.250, 309.950000, 0.280, 15.6, 15.6, 992.3, 992.0, 0.0, 0.0, 13.740, 11.620, 331, 327, 12.1, 12.9, 97.0, 97.1, 12.2, 13.0, 190.6, 186.7, 994.4, 994.1, -5.580, 391.280, -0.01, 28.6078, 11.3674, 338.200, 50.0, 1487.063, NAN, NAN, NAN, NAN
2024/04/04, 00:03:47.781, 35.954, -75.121, 0.62, 216.520, 252.750000, 0.340, 15.6, 15.6, 992.0, 991.8, 0.0, 0.0, 13.740, 11.620, 332, 328, 11.2, 13.2, 97.0, 97.0, 11.1, 13.2, 187.7, 183.8, 994.1, 993.9, -5.570, 391.360, -0.01, 28.5965, 11.3640, 336.400, 50.3, 1487.037, NAN, NAN, NAN, NAN
2024/04/04, 00:04:47.781, 35.954, -75.121, 0.25, 219.680, 271.270000, 0.250, 15.5, 15.6, 992.2, 991.8, 0.0, 0.0, 13.740, 11.620, 331, 326, 12.1, 13.6, 96.8, 96.8, 12.1, 13.6, 190.1, 185.1, 994.3, 993.9, -5.540, 391.660, -0.01, 28.5970, 11.3699, 337.400, 50.3, 1487.059, NAN, NAN, NAN, NAN
2024/04/04, 00:05:47.781, 35.954, -75.121, 0.23, 217.190, 355.230000, 0.210, 15.5, 15.6, 992.0, 991.9, 0.0, 0.0, 13.740, 11.620, 330, 328, 11.4, 12.8, 97.4, 97.3, 11.5, 12.9, 186.8, 184.8, 994.1, 994.0, -5.570, 391.340, -0.01, 28.6011, 11.3701, 336.400, 50.5, 1487.064, NAN, NAN, NAN, NAN
2024/04/04, 00:06:47.781, 35.954, -75.121, -0.15, 218.250, 75.970000, 0.170, 15.5, 15.6, 992.0, 991.8, 0.0, 0.0, 13.740, 11.620, 332, 327, 12.7, 13.5, 97.4, 97.3, 12.7, 13.5, 190.6, 185.6, 994.1, 993.9, -5.530, 391.310, -0.01, 28.6067, 11.3632, 334.000, 50.4, 1487.046, NAN, NAN, NAN, NAN
2024/04/04, 00:07:47.781, 35.954, -75.121, -0.12, 220.760, 103.100000, 0.440, 15.5, 15.6, 992.2, 992.2, 0.0, 0.0, 13.740, 11.620, 329, 324, 12.4, 14.7, 97.3, 97.4, 12.3, 14.6, 190.7, 185.5, 994.3, 994.3, -5.510, 392.260, -0.01, 28.6138, 11.3571, 336.100, 49.8, 1487.033, NAN, NAN, NAN, NAN
2024/04/04, 00:08:47.781, 35.954, -75.121, -0.12, 217.250, 117.240000, 0.790, 15.6, 15.6, 992.0, 991.8, 0.0, 0.0, 13.740, 11.620, 331, 326, 12.8, 14.4, 97.6, 97.7, 12.8, 14.3, 190.1, 184.8, 994.1, 993.9, -5.460, 391.620, -0.01, 28.6227, 11.3501, 336.400, 49.8, 1487.019, NAN, NAN, NAN, NAN
2024/04/04, 00:09:47.781, 35.954, -75.121, -0.12, 214.720, 279.840000, 0.270, 15.5, 15.6, 992.2, 991.9, 0.0, 0.0, 13.740, 11.620, 333, 328, 12.6, 14.1, 97.2, 97.2, 12.6, 14.1, 187.1, 182.2, 994.3, 994.0, -5.510, 391.000, -0.01, 28.6266, 11.3496, 337.400, 50.3, 1487.022, NAN, NAN, NAN, NAN
